"name","github_url","run_date","validated_metadata","validated_data","published","ok_on_datahub","validated_metadata_message","validated_data_message"
"iso-container-codes","https://github.com/datasets/iso-container-codes","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"language-codes","https://github.com/datasets/language-codes","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"media-types","https://github.com/datasets/media-types","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"membership-to-copyright-treaties","https://github.com/datasets/membership-to-copyright-treaties","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"nasdaq-listings","https://github.com/datasets/nasdaq-listings","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"natural-gas-prices","https://github.com/datasets/natural-gas-prices","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"nyse-listings","https://github.com/datasets/nyse-listings","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"oil-prices","https://github.com/datasets/oil-prices","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"population","https://github.com/datasets/population","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"population-city","https://github.com/datasets/population-city","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"ppp","https://github.com/datasets/ppp","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"s-and-p-500","https://github.com/datasets/s-and-p-500","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          String does not match pattern: ^([-a-z0-9._/])+$\n          at ""/licenses/0/name"" in descriptor and\n          at ""/properties/licenses/items/properties/name/pattern"" in profile",""
"s-and-p-500-companies","https://github.com/datasets/s-and-p-500-companies","2017-08-01T14:20:38.767Z",true,true,"true","","",""
"sea-level-rise","https://github.com/datasets/sea-level-rise","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"smdg-master-terminal-facilities-list","https://github.com/datasets/smdg-master-terminal-facilities-list","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"top-level-domain-names","https://github.com/datasets/top-level-domain-names","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"uk-sic-2007-condensed","https://github.com/datasets/uk-sic-2007-condensed","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"unece-package-codes","https://github.com/datasets/unece-package-codes","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
"world-cities","https://github.com/datasets/world-cities","2017-08-01T14:20:38.767Z",false,false,"true","","Descriptor validation error:\n          Missing required property: title\n          at ""/sources/0"" in descriptor and\n          at ""/properties/sources/items/required/0"" in profile",""
